,repetition_number,weight_index,weight_tuple,num_iterations,vehicle_id,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward
429,14,10,"[0.3447218616939823, 0.6552781383060177]",26,1,0.2876773114505277,0.8930691882650041,7.479610097713721,23.219798894890108
430,15,10,"[0.3447218616939823, 0.6552781383060177]",80,0,0.38169897558931265,0.8470466691287601,30.53591804714501,67.76373353030081
431,15,10,"[0.3447218616939823, 0.6552781383060177]",80,1,0.49338497872581744,0.8327010459714312,39.4707982980654,66.6160836777145
432,16,10,"[0.3447218616939823, 0.6552781383060177]",15,0,0.286925851281568,0.8467831272483827,4.30388776922352,12.70174690872574
433,16,10,"[0.3447218616939823, 0.6552781383060177]",15,1,0.3311604495683952,0.8772103237061264,4.9674067435259275,13.158154855591896
434,17,10,"[0.3447218616939823, 0.6552781383060177]",80,0,0.29668551445095015,0.7509680545616939,23.734841156076012,60.07744436493551
435,17,10,"[0.3447218616939823, 0.6552781383060177]",80,1,0.17841854038773122,0.4544416150563394,14.273483231018497,36.35532920450715
436,18,10,"[0.3447218616939823, 0.6552781383060177]",53,0,0.2320522453371057,0.8883732850881255,12.298769002866601,47.08378410967065
437,18,10,"[0.3447218616939823, 0.6552781383060177]",53,1,0.1887715023256549,0.9048318059748879,10.004889623259709,47.95608571666906
438,19,10,"[0.3447218616939823, 0.6552781383060177]",80,0,0.3607557980452431,0.8502586523963542,28.86046384361945,68.02069219170833
439,19,10,"[0.3447218616939823, 0.6552781383060177]",80,1,0.43004697606721304,0.8283860131078085,34.40375808537704,66.27088104862467
440,0,11,"[0.3792007352210163, 0.6207992647789837]",80,0,0.3512954984044382,0.8537122249308448,28.103639872355057,68.29697799446758
441,0,11,"[0.3792007352210163, 0.6207992647789837]",80,1,0.3570082898032533,0.8595604380172694,28.56066318426026,68.76483504138156
442,1,11,"[0.3792007352210163, 0.6207992647789837]",19,0,0.20874674725035547,0.8914658527937229,3.966188197756754,16.937851203080736
443,1,11,"[0.3792007352210163, 0.6207992647789837]",19,1,0.24815599236881772,0.9037392827033284,4.714963855007537,17.17104637136324
444,2,11,"[0.3792007352210163, 0.6207992647789837]",80,0,0.3400227977875806,0.7790811793630588,27.20182382300645,62.3264943490447
445,2,11,"[0.3792007352210163, 0.6207992647789837]",80,1,0.21037344319382445,0.5855212135540794,16.829875455505956,46.84169708432635
446,3,11,"[0.3792007352210163, 0.6207992647789837]",44,0,0.19345105838864604,0.6634020698101298,8.511846569100426,29.189691071645715
447,3,11,"[0.3792007352210163, 0.6207992647789837]",44,1,0.16103387779591777,0.6162848983021026,7.085490623020382,27.116535525292516
448,4,11,"[0.3792007352210163, 0.6207992647789837]",32,0,0.2529123451616994,0.8771358532617876,8.093195045174381,28.068347304377202
449,4,11,"[0.3792007352210163, 0.6207992647789837]",32,1,0.3151420138170155,0.8581893450955816,10.084544442144496,27.462059043058613
450,5,11,"[0.3792007352210163, 0.6207992647789837]",49,0,0.3150494906764274,0.7453630613230824,15.437425043144943,36.52279000483104
451,5,11,"[0.3792007352210163, 0.6207992647789837]",49,1,0.2769319152536027,0.6230562378923546,13.569663847426533,30.529755656725378
452,6,11,"[0.3792007352210163, 0.6207992647789837]",80,0,0.3351659073048129,0.8481978430465074,26.813272584385032,67.85582744372059
453,6,11,"[0.3792007352210163, 0.6207992647789837]",80,1,0.31536914581576747,0.8698625459543395,25.229531665261398,69.58900367634716
454,7,11,"[0.3792007352210163, 0.6207992647789837]",80,0,0.3821046467105998,0.850692379059913,30.568371736847983,68.05539032479304
455,7,11,"[0.3792007352210163, 0.6207992647789837]",80,1,0.47043240694398536,0.8460246372280313,37.63459255551883,67.6819709782425
456,8,11,"[0.3792007352210163, 0.6207992647789837]",80,0,0.3084621676103217,0.7581976275888082,24.676973408825734,60.65581020710465
457,8,11,"[0.3792007352210163, 0.6207992647789837]",80,1,0.12793206688795794,0.5211985144072349,10.234565351036636,41.69588115257879
458,9,11,"[0.3792007352210163, 0.6207992647789837]",80,0,0.3431899559081918,0.8644215453354901,27.455196472655345,69.15372362683921
459,9,11,"[0.3792007352210163, 0.6207992647789837]",80,1,0.3611585165410919,0.8672777077147786,28.892681323287352,69.3822166171823
460,10,11,"[0.3792007352210163, 0.6207992647789837]",29,0,0.2649094901479143,0.8886464791648346,7.6823752142895145,25.770747895780204
461,10,11,"[0.3792007352210163, 0.6207992647789837]",29,1,0.31210967112537225,0.8763084559970146,9.051180462635795,25.41294522391342
462,11,11,"[0.3792007352210163, 0.6207992647789837]",14,0,0.31444096949772865,0.8336903712836624,4.402173572968201,11.671665197971274
