,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes,use_double_q_learning
81,1,4,"[0.13757432459039967, 0.8624256754096002]",80,0.030747856896685476,0.9387837508071826,2.459828551734838,75.1027000645746,0,0.9,1000,False,True,"[128, 128]",False
82,2,4,"[0.13757432459039967, 0.8624256754096002]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
83,3,4,"[0.13757432459039967, 0.8624256754096002]",80,0.09016279654551604,0.9604261256424929,7.213023723641283,76.83409005139943,0,0.9,1000,False,True,"[128, 128]",False
84,4,4,"[0.13757432459039967, 0.8624256754096002]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
85,5,4,"[0.13757432459039967, 0.8624256754096002]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
86,6,4,"[0.13757432459039967, 0.8624256754096002]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
87,7,4,"[0.13757432459039967, 0.8624256754096002]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
88,8,4,"[0.13757432459039967, 0.8624256754096002]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
89,9,4,"[0.13757432459039967, 0.8624256754096002]",80,0.10313442481688931,0.9960013068019137,8.250753985351144,79.6801045441531,0,0.9,1000,False,True,"[128, 128]",False
90,10,4,"[0.13757432459039967, 0.8624256754096002]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
91,11,4,"[0.13757432459039967, 0.8624256754096002]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
92,12,4,"[0.13757432459039967, 0.8624256754096002]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
93,13,4,"[0.13757432459039967, 0.8624256754096002]",80,0.11449806118052572,0.9922340143117949,9.159844894442058,79.3787211449436,0,0.9,1000,False,True,"[128, 128]",False
94,14,4,"[0.13757432459039967, 0.8624256754096002]",80,0.06786906901789747,0.9683394985015179,5.429525521431797,77.46715988012143,0,0.9,1000,False,True,"[128, 128]",False
95,15,4,"[0.13757432459039967, 0.8624256754096002]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
96,16,4,"[0.13757432459039967, 0.8624256754096002]",80,0.03681997674342153,0.9372788924409111,2.9455981394737223,74.98231139527289,0,0.9,1000,False,True,"[128, 128]",False
97,17,4,"[0.13757432459039967, 0.8624256754096002]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
98,18,4,"[0.13757432459039967, 0.8624256754096002]",80,0.030747856896685476,0.9387837508071826,2.459828551734838,75.1027000645746,0,0.9,1000,False,True,"[128, 128]",False
99,19,4,"[0.13757432459039967, 0.8624256754096002]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
100,0,5,"[0.17219369780475377, 0.8278063021952463]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
101,1,5,"[0.17219369780475377, 0.8278063021952463]",80,0.042855898226164965,0.9357740340746398,3.428471858093197,74.86192272597118,0,0.9,1000,False,True,"[128, 128]",False
102,2,5,"[0.17219369780475377, 0.8278063021952463]",80,0.03681997674342153,0.9372788924409111,2.9455981394737223,74.98231139527289,0,0.9,1000,False,True,"[128, 128]",False
103,3,5,"[0.17219369780475377, 0.8278063021952463]",80,0.06712300704645169,0.9675819227439421,5.369840563716135,77.40655381951537,0,0.9,1000,False,True,"[128, 128]",False
104,4,5,"[0.17219369780475377, 0.8278063021952463]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
105,5,5,"[0.17219369780475377, 0.8278063021952463]",80,0.09745260663507115,0.9978849530469729,7.796208530805692,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",False
106,6,5,"[0.17219369780475377, 0.8278063021952463]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
107,7,5,"[0.17219369780475377, 0.8278063021952463]",80,0.04250182764736139,0.9353952461958519,3.4001462117889116,74.83161969566815,0,0.9,1000,False,True,"[128, 128]",False
108,8,5,"[0.17219369780475377, 0.8278063021952463]",80,0.0610508871997157,0.9690867811102135,4.884070975977256,77.52694248881708,0,0.9,1000,False,True,"[128, 128]",False
109,9,5,"[0.17219369780475377, 0.8278063021952463]",80,0.06712300704645169,0.9675819227439421,5.369840563716135,77.40655381951537,0,0.9,1000,False,True,"[128, 128]",False
110,10,5,"[0.17219369780475377, 0.8278063021952463]",80,0.0731836131070577,0.9660770643776706,5.854689048564617,77.28616515021365,0,0.9,1000,False,True,"[128, 128]",False
111,11,5,"[0.17219369780475377, 0.8278063021952463]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
112,12,5,"[0.17219369780475377, 0.8278063021952463]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
113,13,5,"[0.17219369780475377, 0.8278063021952463]",80,0.05995235142245327,0.9679504174738499,4.796188113796261,77.43603339790799,0,0.9,1000,False,True,"[128, 128]",False
114,14,5,"[0.17219369780475377, 0.8278063021952463]",80,0.04250182764736139,0.9353952461958519,3.4001462117889116,74.83161969566815,0,0.9,1000,False,True,"[128, 128]",False
115,15,5,"[0.17219369780475377, 0.8278063021952463]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
116,16,5,"[0.17219369780475377, 0.8278063021952463]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
117,17,5,"[0.17219369780475377, 0.8278063021952463]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
118,18,5,"[0.17219369780475377, 0.8278063021952463]",80,0.05805840817943042,0.9660564780799105,4.644672654354434,77.28451824639284,0,0.9,1000,False,True,"[128, 128]",False
119,19,5,"[0.17219369780475377, 0.8278063021952463]",80,0.0610508871997157,0.9690867811102135,4.884070975977256,77.52694248881708,0,0.9,1000,False,True,"[128, 128]",False
120,0,6,"[0.20667118728342612, 0.793328812716574]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
121,1,6,"[0.20667118728342612, 0.793328812716574]",80,0.05309634174499232,0.9611322356556681,4.247707339599386,76.89057885245344,0,0.9,1000,False,True,"[128, 128]",False
122,2,6,"[0.20667118728342612, 0.793328812716574]",80,0.0610508871997157,0.9690867811102135,4.884070975977256,77.52694248881708,0,0.9,1000,False,True,"[128, 128]",False
123,3,6,"[0.20667118728342612, 0.793328812716574]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
124,4,6,"[0.20667118728342612, 0.793328812716574]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
125,5,6,"[0.20667118728342612, 0.793328812716574]",80,0.0841684943487068,0.9619309840087642,6.733479547896544,76.95447872070113,0,0.9,1000,False,True,"[128, 128]",False
126,6,6,"[0.20667118728342612, 0.793328812716574]",80,0.04818364586382444,0.9335115999507926,3.854691669105955,74.6809279960634,0,0.9,1000,False,True,"[128, 128]",False
127,7,6,"[0.20667118728342612, 0.793328812716574]",80,0.05386546404567673,0.9316279537057334,4.309237123654138,74.53023629645867,0,0.9,1000,False,True,"[128, 128]",False
128,8,6,"[0.20667118728342612, 0.793328812716574]",80,0.0841684943487068,0.9619309840087642,6.733479547896544,76.95447872070113,0,0.9,1000,False,True,"[128, 128]",False
129,9,6,"[0.20667118728342612, 0.793328812716574]",80,0.03681997674342153,0.9372788924409111,2.9455981394737223,74.98231139527289,0,0.9,1000,False,True,"[128, 128]",False
130,10,6,"[0.20667118728342612, 0.793328812716574]",80,0.06714957633204097,0.9675819227439421,5.371966106563277,77.40655381951537,0,0.9,1000,False,True,"[128, 128]",False
131,11,6,"[0.20667118728342612, 0.793328812716574]",80,0.11449806118052572,0.9922340143117949,9.159844894442058,79.3787211449436,0,0.9,1000,False,True,"[128, 128]",False
132,12,6,"[0.20667118728342612, 0.793328812716574]",80,0.07242603734948196,0.9653194886200949,5.794082987958556,77.22555908960759,0,0.9,1000,False,True,"[128, 128]",False
133,13,6,"[0.20667118728342612, 0.793328812716574]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
134,14,6,"[0.20667118728342612, 0.793328812716574]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
135,15,6,"[0.20667118728342612, 0.793328812716574]",80,0.07239764705923188,0.9653194886200949,5.791811764738551,77.22555908960759,0,0.9,1000,False,True,"[128, 128]",False
136,16,6,"[0.20667118728342612, 0.793328812716574]",80,0.11449806118052577,0.9899197623107149,9.159844894442061,79.19358098485719,0,0.9,1000,False,True,"[128, 128]",False
137,17,6,"[0.20667118728342612, 0.793328812716574]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
138,18,6,"[0.20667118728342612, 0.793328812716574]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
139,19,6,"[0.20667118728342612, 0.793328812716574]",80,0.10881624299870751,0.9941176605568544,8.705299439896601,79.52941284454835,0,0.9,1000,False,True,"[128, 128]",False
140,0,7,"[0.2411504665185767, 0.7588495334814234]",80,0.12736372659567802,0.9300360847884643,10.18909812765424,74.40288678307715,0,0.9,1000,False,True,"[128, 128]",False
141,1,7,"[0.2411504665185767, 0.7588495334814234]",80,0.06712300704645169,0.9675819227439421,5.369840563716135,77.40655381951537,0,0.9,1000,False,True,"[128, 128]",False
142,2,7,"[0.2411504665185767, 0.7588495334814234]",80,0.05389200057446526,0.9316279537057334,4.311360045957221,74.53023629645867,0,0.9,1000,False,True,"[128, 128]",False
143,3,7,"[0.2411504665185767, 0.7588495334814234]",80,0.11447152465173718,0.9922340143117949,9.157721972138974,79.3787211449436,0,0.9,1000,False,True,"[128, 128]",False
144,4,7,"[0.2411504665185767, 0.7588495334814234]",80,0.04818364586382444,0.9335115999507926,3.854691669105955,74.6809279960634,0,0.9,1000,False,True,"[128, 128]",False
145,5,7,"[0.2411504665185767, 0.7588495334814234]",80,0.06559634174514677,0.973632235655668,5.2477073396117415,77.89057885245344,0,0.9,1000,False,True,"[128, 128]",False
146,6,7,"[0.2411504665185767, 0.7588495334814234]",80,0.05386546404567673,0.9316279537057334,4.309237123654138,74.53023629645867,0,0.9,1000,False,True,"[128, 128]",False
147,7,7,"[0.2411504665185767, 0.7588495334814234]",80,0.12017987936234395,0.9903503680667358,9.614390348987516,79.22802944533886,0,0.9,1000,False,True,"[128, 128]",False
148,8,7,"[0.2411504665185767, 0.7588495334814234]",80,0.1087897064698848,0.9941176605568544,8.703176517590784,79.52941284454835,0,0.9,1000,False,True,"[128, 128]",False
149,9,7,"[0.2411504665185767, 0.7588495334814234]",80,0.12015334283355543,0.9903503680667358,9.612267426684435,79.22802944533886,0,0.9,1000,False,True,"[128, 128]",False
150,10,7,"[0.2411504665185767, 0.7588495334814234]",80,0.0784866761668545,0.9638146302538235,6.27893409334836,77.10517042030588,0,0.9,1000,False,True,"[128, 128]",False
